--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_item_0607_mark,Chú Phược
DOTA_Tooltip_modifier_item_0607_mark_Description,"Sát thương kỹ năng từ người gây dấu ấn tăng, mạnh hơn theo số lớp."
DOTA_Tooltip_modifier_item_0608,Thiên Chấp
DOTA_Tooltip_modifier_item_0608_Description,"Tăng cường thuộc tính cao nhất hiện tại, làm yếu hai thuộc tính còn lại (1=Sức mạnh, 2=Nhanh nhẹn, 3=Trí tuệ)."
DOTA_Tooltip_modifier_item_0609,Khế Ước Hỗn Độn
DOTA_Tooltip_modifier_item_0609_Description,"Phần lớn máu tối đa bị khế ước lấy đi, biến thành lượng khiên tối đa tương đương tăng tỷ lệ."
DOTA_Tooltip_modifier_item_0610_excess,Siêu Hạn
DOTA_Tooltip_modifier_item_0610_excess_Description,Phần vượt quá giới hạn tỷ lệ chí mạng chuyển thành sát thương chí mạng (số lớp = phần trăm tăng hiện tại).
DOTA_Tooltip_modifier_item_0611,Bách Ích
DOTA_Tooltip_modifier_item_0611_Description,Mỗi hiệu ứng tăng cường trên người tăng sát thương gây ra (số lớp = số hiệu ứng tăng cường hiện có).
DOTA_Tooltip_modifier_item_0612,Luân Chuyển Siêu Hạn
DOTA_Tooltip_modifier_item_0612_Description,Phần giảm thời gian hồi chiêu vượt quá ngưỡng chuyển thành sát thương kỹ năng (số lớp = phần trăm tăng hiện tại).
DOTA_Tooltip_modifier_item_0613,Kháng Hỏa
DOTA_Tooltip_modifier_item_0613_Description,Miễn nhiễm thiêu đốt.
DOTA_Tooltip_modifier_item_0614_debt,Nợ
DOTA_Tooltip_modifier_item_0614_debt_Description,"Số tầng nợ đang gánh (tối đa 40 tầng). Khi không vay nợ mới trong 5 giây liên tiếp, mỗi giây tự động trả 2 tầng."
DOTA_Tooltip_modifier_item_0615,Lãi cao
DOTA_Tooltip_modifier_item_0615_Description,"Sát thương phép tăng; khi 【Nợ】 đầy, buff tăng sát thương này dừng lại cho đến khi trả được chỗ trống."
DOTA_Tooltip_modifier_item_0619,Lò Mặt Trời
DOTA_Tooltip_modifier_item_0619_Description,Sát thương vật lý không phải đòn đánh thường được chuyển hóa thành sát thương phép tương ứng.
DOTA_Tooltip_modifier_item_0622,Toái Tinh
DOTA_Tooltip_modifier_item_0622_Description,"Khi chí mạng sát thương vật lý, có tỷ lệ gây 1 tầng dễ tổn thương cho mục tiêu."
DOTA_Tooltip_modifier_item_P051_nature_gift,Bí dược Thiên nhiên
DOTA_Tooltip_modifier_item_P051_nature_gift_Description,"Tăng chỉ số cơ bản của máu, và miễn nhiễm hiệu ứng trúng độc."
DOTA_Tooltip_modifier_item_P052_antidote,Kháng độc
DOTA_Tooltip_modifier_item_P052_antidote_Description,Sát thương trúng độc phải chịu giảm đáng kể.
DOTA_Tooltip_modifier_item_P053_lightning_potion,Thuốc Sét
DOTA_Tooltip_modifier_item_P053_lightning_potion_Description,"Khi đòn tấn công chính trúng đích, giải phóng chuỗi sét."
DOTA_Tooltip_modifier_item_P054_thunderclap_potion,Chấn Lôi
DOTA_Tooltip_modifier_item_P054_thunderclap_potion_Description,"Đòn tấn công chính tiếp theo trúng quái vật sẽ làm choáng nó; khi quái vật đang đọc thanh, sẽ buộc kích hoạt phá chiêu."
DOTA_Tooltip_modifier_item_P046_potion_Description,"Thiền. Khi sử dụng tăng 18 điểm hồi phục mana mỗi giây, giảm 15% tiêu hao kỹ năng. Kéo dài 600 giây {包括血蓝}"
DOTA_Tooltip_modifier_item_P055_potion,Thuốc kháng ma
DOTA_Tooltip_modifier_item_P055_potion_Description,Tăng khả năng kháng ma.
DOTA_Tooltip_modifier_item_M223_thunderized,Lôi hóa
DOTA_Tooltip_modifier_item_M223_thunderized_Description,"Giảm đáng kể sát thương sấm sét nhận phải, và có thể đi qua tường sấm."
DOTA_Tooltip_modifier_boss_storm_phase_summon_slow,Giảm tốc điểm nổ lôi đình
DOTA_Tooltip_modifier_boss_storm_phase_summon_slow_Description,Tốc độ di chuyển giảm.
DOTA_Tooltip_modifier_elite_029_web_aura_effect,Vùng mạng nhện
DOTA_Tooltip_modifier_elite_029_web_aura_effect_Description,"Đồng minh nhện trong mạng nhận tăng tốc độ di chuyển và tốc độ tấn công, kẻ địch giảm 20% tốc độ di chuyển."
DOTA_Tooltip_modifier_elite_043_slow,Xâm thực hư không
DOTA_Tooltip_modifier_elite_043_slow_Description,"Bị năng lượng hư không xâm thực, tốc độ di chuyển giảm 75%."
DOTA_Tooltip_modifier_elite_060_slow,Truy kích cực hàn
DOTA_Tooltip_modifier_elite_060_slow_Description,Tốc độ di chuyển giảm 40%.
DOTA_Tooltip_modifier_elite_063_no_heal,Huyết thực sương giá
DOTA_Tooltip_modifier_elite_063_no_heal_Description,Hiệu quả hút máu giảm 50%.
DOTA_Tooltip_modifier_elite_136_bramble_slow,Cản trở rễ oán
DOTA_Tooltip_modifier_elite_136_bramble_slow_Description,"Bị rễ cây kéo chậm nghiêm trọng, tốc độ di chuyển giảm 90%."
DOTA_Tooltip_modifier_elite_137_feast,Hoa ăn thịt cắn xé
DOTA_Tooltip_modifier_elite_137_feast_Description,"Bị hoa ăn thịt trói và im lặng, chịu sát thương liên tục."
DOTA_Tooltip_modifier_elite_144_empowered_attacks,Dư lực đòn nặng
DOTA_Tooltip_modifier_elite_144_empowered_attacks_Description,"3 đòn tấn công tiếp theo nhận 50% tốc độ tấn công, và khi trúng sẽ hồi 15% máu tối đa."
DOTA_Tooltip_modifier_elite_305_borrowed_time,Thời gian vay mượn
DOTA_Tooltip_modifier_elite_305_borrowed_time_Description,"Không chịu bất kỳ sát thương nào, sát thương nhận được sẽ chuyển hóa thành hồi máu."
DOTA_Tooltip_modifier_elite_306_swarm_latch,Bầy côn trùng ký sinh
DOTA_Tooltip_modifier_elite_306_swarm_latch_Description,Một con côn trùng bám vào người gây sát thương liên tục. Tiêu diệt con côn trùng có thể xóa hiệu ứng này sớm.
DOTA_Tooltip_modifier_elite_307_collision_slow,Co đất va chạm
DOTA_Tooltip_modifier_elite_307_collision_slow_Description,"Bị bản sao thời gian lướt qua, tốc độ di chuyển giảm xuống tối thiểu trong thời gian ngắn."
DOTA_Tooltip_modifier_elite_308_ground_leash,Lưới săn trói
DOTA_Tooltip_modifier_elite_308_ground_leash_Description,"Bị trói gần điểm rơi phi tiêu, càng xa điểm neo tốc độ di chuyển giảm dần, vượt quá phạm vi không thể tiếp tục đi xa hơn."
DOTA_Tooltip_modifier_elite_325_guard,Bảo vệ tầm nhìn
DOTA_Tooltip_modifier_elite_329_non_item_heal_reduction,Cắt giảm hồi phục do sương giá
DOTA_Tooltip_modifier_elite_329_non_item_heal_reduction_Description,Hiệu ứng hồi máu từ những nguồn không phải vật phẩm giảm 50%.
DOTA_Tooltip_modifier_normal_022_13005_debuff,Vết thương cuồng
DOTA_Tooltip_modifier_normal_022_13005_debuff_Description,Giảm 50%% hiệu ứng hồi máu nhận được.
DOTA_Tooltip_modifier_normal_022_13005_slow,Làm chậm cuồng
DOTA_Tooltip_modifier_normal_022_13005_slow_Description,Tốc độ di chuyển giảm 50%%.
DOTA_Tooltip_modifier_normal_029_mana_slow,Chậm chạp hư không
DOTA_Tooltip_modifier_normal_029_mana_slow_Description,Tốc độ di chuyển giảm 50%.
DOTA_Tooltip_modifier_normal_042_shield_suppress,Áp chế khiên
DOTA_Tooltip_modifier_normal_042_shield_suppress_Description,Khiên cơ bản không thể hồi phục.
DOTA_Tooltip_modifier_normal_046_damage_reduction,Thế phòng thủ chớp nhoáng
DOTA_Tooltip_modifier_normal_046_damage_reduction_Description,Nhận 80%% giảm sát thương.
DOTA_Tooltip_modifier_normal_049_weaken,Suy yếu
DOTA_Tooltip_modifier_normal_049_weaken_Description,Không thể gây ra đòn chí mạng.
DOTA_Tooltip_modifier_roshan_003_grabbed,Bị Roshan tóm
DOTA_Tooltip_modifier_roshan_003_grabbed_Description,Bị Roshan bắt và sắp bị ném đi.
DOTA_Tooltip_modifier_generic_ignite,Thiêu đốt
DOTA_Tooltip_modifier_generic_ignite_Description,"Chịu sát thương thuần túy theo chu kỳ. Mỗi lớp Thiêu đốt gây một tỷ lệ sát thương từ (Trí tuệ + Sức mạnh) của người thi triển mỗi giây, có thể chồng lớp. Thêm Thiêu đốt mới sẽ làm mới thời gian hiệu lực."
DOTA_Tooltip_modifier_env_dark_gaze,Ánh nhìn tối tăm
DOTA_Tooltip_modifier_env_dark_gaze_Description,"Mỗi lớp mỗi giây mất 2%% máu tối đa, tử vong khi trên 10 lớp."
DOTA_Tooltip_modifier_m013_contract_gold,Khí cụ khát khao
DOTA_Tooltip_modifier_m013_contract_gold_Description,<h1>Lợi ích</h1>Số lượng rơi ra tăng đáng kể.<br><br><h1>Cái giá</h1>Đạt cấp 1: Phá rương có thể bị Kẻ canh gác truy đuổi.
DOTA_Tooltip_modifier_m013_contract_gold_2,Khí cụ khát khao
DOTA_Tooltip_modifier_m013_contract_gold_2_Description,<h1>Lợi ích</h1>Số lượng rơi ra tăng cực kỳ nhiều.<br><br><h1>Cái giá</h1>Đạt cấp 1: Phá rương có thể bị Kẻ canh gác truy đuổi.<br>Đạt cấp 2: Tiêu diệt quái tinh anh có thể bị Kẻ canh gác truy đuổi.
DOTA_Tooltip_modifier_m013_contract_life,Sợi chỉ sinh mệnh
DOTA_Tooltip_modifier_m013_contract_life_Description,<h1>Lợi ích</h1>Mỗi cấp hợp đồng tăng 1 cơ hội chống lại sát thương chết người và hồi phục đầy máu.<br><br><h1>Cái giá</h1>Đạt cấp 1: Quái tinh anh nhận 1 lần hồi sinh.
DOTA_Tooltip_modifier_m013_contract_life_boss_phase,Sợi chỉ sinh mệnh
DOTA_Tooltip_modifier_m013_contract_life_boss_phase_Description,Sau khi chết sẽ vào Giai đoạn 2.
DOTA_Tooltip_modifier_m013_contract_life_2,Sợi chỉ sự sống
DOTA_Tooltip_modifier_m013_contract_life_2_Description,<h1>Lợi ích</h1>Mỗi cấp độ hợp đồng tăng 1 lần chặn đòn chí mạng và hồi phục đầy máu.<br><br><h1>Cái giá</h1>Đạt cấp 1: Quái tinh anh nhận 1 lần hồi sinh.<br>Đạt cấp 2: Trùm/Thủ lĩnh nhận 1 lần hồi sinh.
DOTA_Tooltip_modifier_m013_contract_life_revive,Hồi sinh sợi chỉ
DOTA_Tooltip_modifier_m013_contract_life_revive_Description,"Còn %dMODIFIER_PROPERTY_TOOLTIP% lần hồi sinh; khi kích hoạt, hồi phục đầy máu và vào trạng thái hồi phục bất khả xâm phạm trong 3 giây."
DOTA_Tooltip_modifier_m013_contract_life_recovering,Hồi phục hợp đồng
DOTA_Tooltip_modifier_m013_contract_life_recovering_Description,Bước chân của tử thần bị một bàn tay vô hình giữ lại.
DOTA_Tooltip_modifier_m013_contract_power,Thế giới thực khách
DOTA_Tooltip_modifier_m013_contract_power_Description,"<h1>Lợi ích</h1>Tất cả thuộc tính tăng %dMODIFIER_PROPERTY_TOOLTIP%%, máu tối đa cơ bản tăng %dMODIFIER_PROPERTY_TOOLTIP2%%.<br><br><h1>Cái giá</h1>Đạt cấp 1: Bị kỹ năng quái tinh anh trúng tăng 5 lớp phản phệ.<br>Mỗi lớp phản phệ giảm tất cả thuộc tính và máu tối đa cơ bản 1%%."
DOTA_Tooltip_modifier_m013_contract_power_2,Thế giới thực khách
DOTA_Tooltip_modifier_m013_contract_power_2_Description,"<h1>Lợi ích</h1>Tất cả thuộc tính tăng %dMODIFIER_PROPERTY_TOOLTIP%%, máu tối đa cơ bản tăng %dMODIFIER_PROPERTY_TOOLTIP2%%.<br><br><h1>Cái giá</h1>Đạt cấp 1: Bị kỹ năng quái tinh anh trúng tăng 5 lớp phản phệ.<br>Đạt cấp 2: Kỹ năng của trùm và tiểu trùm cũng tăng 5 lớp phản phệ.<br>Mỗi lớp phản phệ giảm tất cả thuộc tính và máu tối đa cơ bản 1%%."
DOTA_Tooltip_modifier_m013_contract_power_debt,Phản phệ hợp đồng
DOTA_Tooltip_modifier_m013_contract_power_debt_Description,Tất cả thuộc tính và máu tối đa cơ bản giảm %dMODIFIER_PROPERTY_TOOLTIP%%.
DOTA_Tooltip_modifier_greed_cave_player_poison,Độc tố bí cảnh
DOTA_Tooltip_modifier_greed_cave_player_poison_Description,Đặc tính bí cảnh Thiên khuynh: Mất máu theo chu kỳ khi chiến đấu.
DOTA_Tooltip_modifier_greed_cave_healing_down,Suy giảm hồi phục
DOTA_Tooltip_modifier_greed_cave_healing_down_Description,Đặc tính bí cảnh Thiên khuynh: Hiệu quả hồi phục và trị liệu nhận vào giảm.
DOTA_Tooltip_modifier_greed_cave_monster_berserk,Cuồng bạo bí cảnh
DOTA_Tooltip_modifier_greed_cave_monster_berserk_Description,Đặc tính bí cảnh Thiên khuynh: Quái vật gây sát thương và tốc độ đánh tăng.
DOTA_Tooltip_modifier_greed_cave_monster_tough,Cứng hóa bí cảnh
DOTA_Tooltip_modifier_greed_cave_monster_tough_Description,Đặc tính bí cảnh Thiên khuynh: Quái vật nhận thêm kháng sát thương.
DOTA_Tooltip_modifier_item_0554_blood_curse,Lời Nguyền Huyết Ma
DOTA_Tooltip_modifier_item_0554_blood_curse_Description,Tăng thời gian hồi nạp của kỹ năng di chuyển; nhưng nhận tốc độ di chuyển và kháng sát thương.
DOTA_Tooltip_modifier_axe_003_helix_attack_speed,Vũ Điệu Xoay
DOTA_Tooltip_modifier_axe_003_helix_attack_speed_Description,"Sau khi bị đòn tấn công kích hoạt Phản Kích Xoáy, nhận tăng Tốc độ tấn công, có thể cộng dồn."
DOTA_Tooltip_modifier_item_0217_pojun,Phá Quân
DOTA_Tooltip_modifier_item_0217_pojun_Description,"Khi đòn vật lý chí mạng, có xác suất khiến mục tiêu chịu Dễ Bị Tổn Thương và cộng dồn Phá Giáp."
DOTA_Tooltip_modifier_item_0217_armor_break,Phá Giáp
DOTA_Tooltip_modifier_item_0217_armor_break_Description,Giáp giảm theo số tầng.
DOTA_Tooltip_modifier_item_0371_corrosion,Ăn Mòn
DOTA_Tooltip_modifier_item_0371_corrosion_Description,"Giảm giáp vật lý, mạnh theo số tầng."
DOTA_Tooltip_modifier_item_0382_chaos_poison,Độc Hỗn Loạn
DOTA_Tooltip_modifier_item_0382_chaos_poison_Description,"Khi thêm bất kỳ trạng thái bất lợi nào lên mục tiêu, có xác suất khiến mục tiêu chịu 1 tầng Trúng Độc."
DOTA_Tooltip_modifier_item_0385_lionheart_reduction,Thành Lũy Sư Tâm
DOTA_Tooltip_modifier_item_0385_lionheart_reduction_Description,Sát thương nhận vào giảm đi đáng kể.
DOTA_Tooltip_item_0402_modifier,Gai Độc
DOTA_Tooltip_item_0402_modifier_Description,"Mỗi lần thêm Trúng Độc, ngay lập tức gây một lần sát thương độc."
DOTA_Tooltip_modifier_item_0420_blood_moon,Trăng Máu
DOTA_Tooltip_modifier_item_0420_blood_moon_Description,Mang dấu ấn Trăng Máu: đòn tấn công của người sở hữu dấu ấn sẽ gây Dễ Bị Tổn Thương.
DOTA_Tooltip_modifier_item_0421_void_scale,Thước Đo Hư Không
DOTA_Tooltip_modifier_item_0421_void_scale_Description,"Tăng tiêu hao mana, tăng sát thương kỹ năng."
DOTA_Tooltip_modifier_item_0424_shield_loss,Rò Rỉ Năng Lượng Gai
DOTA_Tooltip_modifier_item_0424_shield_loss_Description,"Mỗi 0.5 giây, mất một phần giá trị khiên tối đa."
DOTA_Tooltip_modifier_item_0426_stasis,Ngưng Đọng
DOTA_Tooltip_modifier_item_0426_stasis_Description,Giảm sát thương phải chịu và nhận hút máu toàn phần.
DOTA_Tooltip_modifier_item_0536_passive,Vỡ Giáp
DOTA_Tooltip_modifier_item_0536_passive_Description,"Sát thương phải chịu tăng, và sát thương cuối cùng tăng theo tổng giáp hiện tại."
DOTA_Tooltip_modifier_item_0551_clear_spring_debuff,Linh Thanh Dũng
DOTA_Tooltip_modifier_item_0551_clear_spring_debuff_Description,Tốc độ tấn công và di chuyển bị giảm.
DOTA_Tooltip_modifier_item_0620_frost_main,Sương Ăn Mòn
DOTA_Tooltip_modifier_item_0620_frost_main_Description,"Tấn công trực tiếp mục tiêu bị đóng băng, khi lớp băng đạt tối đa sẽ bùng phát Tê Cóng; khi bản thân bị đóng băng, nhận giảm sát thương và tăng tốc độ tấn công."
DOTA_Tooltip_modifier_item_0620_frostbite,Tê Cóng
DOTA_Tooltip_modifier_item_0620_frostbite_Description,Mỗi giây chịu sát thương phép theo tỷ lệ nhất định từ toàn bộ thuộc tính của người thi triển.
DOTA_Tooltip_modifier_item_0620_cold_boon,Rét Buốt
DOTA_Tooltip_modifier_item_0620_cold_boon_Description,Khi ở trạng thái đóng băng: giảm sát thương phải chịu và tăng tốc độ tấn công.
DOTA_Tooltip_modifier_item_0644_world_curse,Lời Nguyền Ăn Mòn
DOTA_Tooltip_modifier_item_0644_world_curse_Description,"Khi máu lớn hơn 50%, bản thân bị trúng độc và sát thương độc phải chịu giảm; sát thương độc có thể gây chí mạng phép."
DOTA_Tooltip_modifier_item_0646_heavenly_punishment,Thiên Phạt
DOTA_Tooltip_modifier_item_0646_heavenly_punishment_Description,"Mỗi giây giáng sấm sét lên kẻ địch ngẫu nhiên xung quanh, gây sát thương thuần khiết theo toàn bộ thuộc tính."
DOTA_Tooltip_modifier_item_0649_phase,Pha
DOTA_Tooltip_modifier_item_0649_phase_Description,"Miễn nhiễm sát thương, nhưng vẫn có thể hành động, tấn công, bị tấn công và bị khống chế."
DOTA_Tooltip_modifier_elite_072_slow,Sương Độc Bóng Tối
DOTA_Tooltip_modifier_elite_072_slow_Description,Tốc độ di chuyển giảm 50%.
DOTA_Tooltip_modifier_elite_332_material_change,Đổi màu chất liệu
DOTA_Tooltip_modifier_elite_332_material_change_Description,Đổi màu chất liệu
DOTA_Tooltip_modifier_elite_333_haste,Tăng tốc
DOTA_Tooltip_modifier_elite_333_haste_Description,Tăng 10% tốc độ tấn công và 50% tốc độ di chuyển.
DOTA_Tooltip_modifier_game_dda_daily_fatigue,Mệt mỏi
DOTA_Tooltip_modifier_game_dda_daily_fatigue_Description,"Lượng mệt mỏi hiện tại không đủ, số lượng vật phẩm rơi trên bản đồ giảm %dMODIFIER_PROPERTY_TOOLTIP%%%. Lượng mệt mỏi hằng ngày được làm mới lúc 0 giờ theo giờ Bắc Kinh."
DOTA_Tooltip_modifier_env_m010_erosion,Ăn mòn
DOTA_Tooltip_modifier_env_m010_erosion_Description,Máu và mana đang mất dần theo thời gian.
DOTA_Tooltip_modifier_m013_contract_life_post_revive_protection,Bảo hộ hồi sinh
DOTA_Tooltip_modifier_m013_contract_life_post_revive_protection_Description,Sát thương nhận vào giảm 80%%.
DOTA_Tooltip_modifier_ak_rune_purification,Ngọc thanh tẩy
DOTA_Tooltip_modifier_ak_rune_purification_Description,Miễn nhiễm tạm thời với hiệu ứng Ăn mòn.
DOTA_Tooltip_modifier_ak_rune_revive,Ngọc hồi sinh
DOTA_Tooltip_modifier_ak_rune_revive_Description,"Trong thời gian hiệu lực, khi nhận sát thương gây tử vong sẽ ưu tiên tiêu hao, tiến hành hồi sinh và hồi phục 50%% máu tối đa và mana tối đa."
DOTA_Tooltip_modifier_cs_boss_attack_vulnerability_debuff,Tăng tổn thương
DOTA_Tooltip_modifier_cs_boss_attack_vulnerability_debuff_Description,"Mỗi tầng tăng 5% sát thương phải nhận. Nếu không bị Boss tấn công trong 1.5 giây, toàn bộ số tầng bị xóa."
DOTA_Tooltip_modifier_item_0374_focus_buff,Tĩnh Tâm
DOTA_Tooltip_modifier_item_0374_focus_buff_Description,"Đứng yên, toàn bộ sát thương tăng."
DOTA_Tooltip_modifier_item_0391_frost_slow_debuff,Sương Giá
DOTA_Tooltip_modifier_item_0391_frost_slow_debuff_Description,Tốc độ tấn công và tốc độ di chuyển bị giảm.
DOTA_Tooltip_modifier_item_0391_frost_stats_buff,Hào Quang Phụ Trợ
DOTA_Tooltip_modifier_item_0391_frost_stats_buff_Description,Nhận thêm toàn bộ thuộc tính.
DOTA_Tooltip_modifier_item_0650_archmage,Đại Ma Đạo
DOTA_Tooltip_modifier_item_0650_archmage_Description,"Định kỳ tiêu hao lượng mana hiện tại, tích tụ một vụ nổ diện rộng, được tính là một lần thi triển kỹ năng."
DOTA_Tooltip_modifier_item_0651_shadow_resonance,Cộng Hưởng Tật Ảnh
DOTA_Tooltip_modifier_item_0651_shadow_resonance_Description,"Mỗi trang bị của bộ 【Tật Ảnh】 tăng tốc độ tấn công và tốc độ di chuyển, tối đa 3 món (số tầng = số món đang có hiệu lực)."
DOTA_Tooltip_modifier_item_P056_potion,Thuốc Tấn Công II
DOTA_Tooltip_modifier_item_P056_potion_Description,Tăng sức tấn công.
DOTA_Tooltip_modifier_item_P057_potion,Thuốc Phòng Thủ II
DOTA_Tooltip_modifier_item_P057_potion_Description,Tăng giáp.
DOTA_Tooltip_modifier_item_0348_mark,Tàn Sát
DOTA_Tooltip_modifier_item_0348_mark_Description,"Chịu sát thương từ kẻ thi triển dấu ấn tăng lên, máu càng thấp hiệu quả càng mạnh."
DOTA_Tooltip_modifier_boss_brewmaster_1_speed_buff,Men Say
DOTA_Tooltip_modifier_boss_brewmaster_1_speed_buff_Description,"Tốc độ di chuyển tăng 50%, tốc độ tấn công tăng 50%."
DOTA_Tooltip_modifier_wearable_aura_1_effect,Hào Quang Hồi Mana Chìm
DOTA_Tooltip_modifier_wearable_aura_1_effect_Description,Hồi phục 1%% mana tối đa mỗi giây.
DOTA_Tooltip_modifier_wearable_aura_2_effect,Hào Quang Giáp Thần Thánh
DOTA_Tooltip_modifier_wearable_aura_2_effect_Description,Tăng 5%% giáp.
DOTA_Tooltip_modifier_wearable_aura_3_effect,Hào Quang Bạo Kích Sinh Sôi
DOTA_Tooltip_modifier_wearable_aura_3_effect_Description,Toàn vùng tăng 3%% chí mạng.
DOTA_Tooltip_modifier_wearable_aura_4_effect,Hào Quang Hút Máu Pha Lê
DOTA_Tooltip_modifier_wearable_aura_4_effect_Description,Toàn vùng tăng 3%% hút máu.